Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
63,MarFire,154.250000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
64,SalPol,460.475000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
65,StayFirOp,154.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,JeffFirOp,154.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,MarShC2C,155.910000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,MarShOp1,154.890000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,MaShOp2,155.868000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,StayPoOp,155.370000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,StayEMS,155.295000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,LinnSher,154.710000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,Linnfire,154.310000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,AlbPol,153.815000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
75,LaneSher,453.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
76,EugFire,154.355000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
77,ELaneFire,154.430000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
78,SAL WX,162.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
79,CVO PW,156.240000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
80,EMSAR,154.175000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,EM-RPT,154.175000,+,5.297500,,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,NASARN,155.160000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,ORSAROR,155.805000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,ORSARBR,155.767500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,ORSARGR,155.812500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,ORSARPR,155.152500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,ORSARYL,155.167500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,NASARWF,155.160000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,ORSARWF,155.805000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
90,BCSOTAC,153.912500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
91,BCTACR,155.490000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,VCALL10,155.752500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
93,VTAC11,151.137500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
94,VTAC12,154.452500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
95,VTAC13,158.737500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
96,VTAC14,159.472500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
97,VTAC36,151.137500,+,8.335000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
98,VTAC38,158.737500,+,0.735000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
99,LEMAIN,155.490000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
100,OSU OSP,155.745000,-,0.400000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
101,BC FIR,154.340000,+,1.855000,Tone,114.8,88.5,023,NN,NFM,5.00,S,,,,,
102,PHIL FI,154.220000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
103,KV FIR,154.340000,-,3.535000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
104,MVHF  L,155.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
105,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
106,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
107,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
108,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
109,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
110,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
111,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
112,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
113,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
114,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
115,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
116,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
117,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
118,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
119,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
120,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
121,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
122,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
123,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
124,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
125,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
126,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
